,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,0
1,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,0
2,7.4,1.185,0.0,4.25,0.097,5.0,14.0,0.9966,3.63,0.54,10.7,0
3,10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,3.38,0.86,9.9,0
4,8.3,1.02,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,0
5,7.6,1.58,0.0,2.1,0.137,5.0,9.0,0.99476,3.5,0.4,10.9,0
6,6.8,0.815,0.0,1.2,0.267,16.0,29.0,0.99471,3.32,0.51,9.8,0
7,7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,0
8,7.1,0.875,0.05,5.7,0.082,3.0,14.0,0.99808,3.4,0.52,10.2,0
9,6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,0
10,8.5,0.26,0.21,16.2,0.074,41.0,197.0,0.998,3.02,0.5,9.8,0
11,5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43,11.7,0
12,9.1,0.59,0.38,1.6,0.066,34.0,182.0,0.9968,3.23,0.38,8.5,0
13,7.1,0.32,0.32,11.0,0.038,16.0,66.0,0.9937,3.24,0.4,11.5,0
14,6.9,0.39,0.4,4.6,0.022,5.0,19.0,0.9915,3.31,0.37,12.6,0
15,10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,0
16,7.9,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,0
17,8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,0
18,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,0
19,7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1,0
20,6.7,0.25,0.26,1.55,0.041,118.5,216.0,0.9949,3.55,0.63,9.4,0
21,7.1,0.49,0.22,2.0,0.047,146.5,307.5,0.9924,3.24,0.37,11.0,0
22,11.8,0.23,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,0
23,7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,0
24,6.1,0.2,0.34,9.5,0.041,38.0,201.0,0.995,3.14,0.44,10.1,0
25,4.2,0.215,0.23,5.1,0.041,64.0,157.0,0.99688,3.42,0.44,8.0,0
26,9.4,0.24,0.29,8.5,0.037,124.0,208.0,0.99395,2.9,0.38,11.0,0
27,6.2,0.23,0.35,0.7,0.051,24.0,111.0,0.9916,3.37,0.43,11.0,0
28,6.8,0.26,0.34,15.1,0.06,42.0,162.0,0.99705,3.24,0.52,10.5,0
29,6.1,0.26,0.25,2.9,0.047,289.0,440.0,0.99314,3.44,0.64,10.5,0
30,5.1,1.07,1.37,54.1,0.474,109.3,271.9,1.02061,3.04,1.14,13.2,0
31,13.3,1.39,0.8,41.9,0.2,145.0,348.6,1.00556,3.01,1.67,12.2,0
32,11.5,1.22,1.19,38.9,0.216,235.8,367.0,1.0148,3.38,1.81,11.2,0
33,9.4,1.21,1.01,53.5,0.238,182.7,296.0,1.01616,3.03,0.96,11.6,0
34,11.8,0.67,0.86,34.6,0.34,229.9,195.4,1.01845,2.98,0.98,10.9,0
35,6.8,0.69,0.89,44.8,0.14,126.2,243.0,1.01653,3.04,1.1,12.8,0
36,10.1,1.29,0.76,39.6,0.315,225.7,348.6,1.02036,3.08,1.26,11.5,0
37,11.7,1.07,1.19,51.0,0.275,161.8,206.7,1.01767,3.16,1.04,10.0,0
38,8.4,0.82,0.76,47.2,0.343,132.7,213.2,1.01349,3.15,1.31,13.0,0
39,10.0,1.12,0.63,48.2,0.161,218.4,214.3,1.02056,2.98,0.93,10.7,0
40,11.2,1.01,0.9,47.0,0.22,164.4,146.0,1.00513,3.1,1.36,11.8,0
41,10.8,1.05,1.43,48.0,0.302,174.9,146.8,1.02056,3.32,0.91,10.6,0
42,13.4,0.83,1.38,45.3,0.269,149.7,255.7,1.02459,3.58,0.94,10.6,0
43,10.5,0.98,0.93,29.9,0.323,234.9,223.9,1.02146,2.96,1.38,11.2,0
